path,ref,hyp,label,wer_percentage
30991174,"   সি এন জি, রিক্সা,অটোরিক্সা,মাইক্রোবাস নিয়মিত চলাচল করে।","সিএনজি ডিক শাহ অর্থ রিকশা, মাইক্রো বাস নিয়মিত চলাচল করে।","['I', 'I', 'I', 'S', 'S', 'S', 'S', 'C', 'C', 'C']",70
30707490,সদর দফতর আমস্টারডামে।,সদর দপ্তর অস্ত্র।,"['C', 'S', 'S']",66
31002791,বই দুইটি হলো-,বই দুটি হলো।,"['C', 'S', 'S']",66
31533437,স্থাপত্যের জন্য আগা খান পুরস্কার স্থাপত্য ক্ষেত্রে  বিশ্বের অন্যতম মর্যাদাপূর্ণ পুরস্কার।, স্থাপত্যে নাগা খান পুরস্কার স্থাপত্য ক্ষেত্রে বিশের নত মধ্য কোন পুরস্কার?,"['D', 'S', 'S', 'C', 'C', 'C', 'C', 'I', 'S', 'S', 'S', 'S']",66
31562386,যার অর্থ পশুপখি।,যা অর্থ পশুপাখি।,"['S', 'C', 'S']",66
31518100,"থেরবাদ বৌদ্ধধর্মে, বিদ্যা মানে তিনটি অস্তিত্বের চিহ্নের 'অ-দ্বৈত সচেতনতা'।",থেরবাদ  বৌদ্ধধর্মে বিদ্যামান তিনটি অস্তিত্বের চীনের অদ্বৈত সচেতনতা।,"['C', 'D', 'S', 'S', 'C', 'C', 'S', 'S', 'S']",66
31508851,"বইয়ের সমার্থক শদ্ব গ্রন্থ, কিতাব, পুস্তক।","বইয়ের সমার্থক, শদ্ব গ্রন্থ কিতাব পুত্র।","['C', 'S', 'C', 'S', 'S', 'S']",66
30994465,এগুলো র অংশ।, এগুলোর অংশ।,"['D', 'S', 'C']",66
31619157,মাদরাসার নামই তাঁর স্মৃতি বহন করছে।,মাদ্রাসার নামে তার স্মৃতি বহন করছেন।,"['S', 'S', 'S', 'C', 'C', 'S']",66
31559412,যযাতি নামে এক  অসুর-রাজের কাহিনি।,জাতি নামে এক অসুর রাজের কাহিনী।,"['S', 'C', 'C', 'I', 'S', 'S']",66
31559757,স্নায়ু নামঃ সংখ্যাঃ,স্নায়ু নাম সংখ্যা।,"['C', 'S', 'S']",66
31621172,তারপর অনেকগুলো ঘুমের বড়ি খেয়ে ফেলেন।,তারপর  গুলি করে লিখে ফেলেন।,"['C', 'D', 'S', 'S', 'S', 'C']",66
31550094,যতীন্দ্রনাথ মুখোপাধ্যায় এর কাছে বিপ্লবের মন্ত্রে দীক্ষা নিয়েছিলেন।, দতিন্ধতার মুখোপাধ্যায়ের কাছে  বিপ্লবন্ত্রের দীক্ষা নিয়েছিলেন।,"['D', 'S', 'S', 'C', 'D', 'S', 'C', 'C']",62
31553190,এই সংঘর্ষ হিন্দু কুশ সহ হিমালয়ের সৃষ্টি করেছিল।,এই    সংগষ্যহিন্দু পরসহকিমালয়ের সৃষ্টি করেছিল।,"['C', 'D', 'D', 'D', 'S', 'S', 'C', 'C']",62
31614173,   মৎশুর-স্তোন-নাম-মখা'-দপাল-বা মধ্য তিব্বতে জন্মগ্রহণ করেন।,স্টশুরস্তমুন নাম পাল বা মন্ত্র তিব্বতে জন্মগ্রহণ করেন।,"['I', 'I', 'I', 'S', 'S', 'C', 'C', 'C']",62
31583875, এইসব বর্ণের আসল তাৎপর্য জানা  যায়না।,এই সব বর্নের আসল তাৎপর্য জানা যায় না।,"['I', 'S', 'S', 'C', 'C', 'C', 'I', 'S']",62
31611028,"এরপর, দুইবার পাঁচ-উইকেট লাভ করলেও পরবর্তী চৌদ্দ টেস্টে দুইয়ের  অধিক উইকেট পাননি।",এরপর দুইবার   পাঁচ ইকেটলাবড়লেও পরবর্তীত টেস্টে দুইয়ের ও টি উইকেট পাননি।,"['S', 'C', 'D', 'D', 'S', 'S', 'S', 'C', 'C', 'I', 'S', 'C', 'C']",61
31609305,"এটি ঢাকা, বাংলাদেশ এ অবস্থিত।",এটি  ঢাকা বাংলাদেশে অবস্থিত।,"['C', 'D', 'S', 'S', 'C']",60
31525474,ছোটবেলায় তিনি রোং-বো এবং   ল্বা-ব্রাং-বক্রা-শিস-'খ্যিল বৌদ্ধবিহারে শিক্ষালাভ করেন।,ছোটবেলায় তিনি রম্য এবং লাবরাংবক্টা শিষখিলবৈদ্য বিহারে শিক্ষা লাভ করেন।,"['C', 'C', 'S', 'C', 'I', 'I', 'S', 'S', 'S', 'C']",60
31581822, জ্যাকসন ঘটনাস্থলেই মারা যান।,"জ্যাকসন, ঘটনা স্থলেই মারা যান।","['I', 'S', 'S', 'C', 'C']",60
31509329,"এর মধ্যে অন্যতম হলো  ঢাকা-সিলেট মহাসড়ক,   ঢাকা-কিশোরগঞ্জ-ময়মনসিংহ সড়ক,   ঢাকা-চট্রগ্রাম, ঢাকা-সিলেট এবং   ঢাকা-ভৈরব-কিশোরগঞ্জ রেলপথ।","এর মধ্যে অন্যতম হলো ঢাকা সিলেট মহাসড়ক, ঢাকা কিশোরগঞ্জ ময়মনসিংহ সড়ক, ঢাকা চট্টগ্রাম, ঢাকা সিলেট এবং ঢাকা ভৈরব, কিশোরগঞ্জ রেলপথ।","['C', 'C', 'C', 'C', 'I', 'S', 'C', 'I', 'I', 'S', 'C', 'I', 'I', 'S', 'S', 'C', 'I', 'I', 'S', 'C']",60
31626346,কানাই ধাপ একটি প্রত্নতাত্ত্বিক স্থাপনা।,এখানে বা একটি প্রত্যন্তিক স্থাপনা।,"['S', 'S', 'C', 'S', 'C']",60
31559013,ন্যানো একটি  মাপার একক।,"নেন একটি মা বার, একক।","['S', 'C', 'I', 'S', 'C']",60
31625820,এই        বইটিতে প্রোফেসর শঙ্কু সিরিজের সাতটি গল্প আছে।,"এই বইটি প্রফেসর শঙ্কু সিরিজের সাতটি গল্প আছেনই বইটিতে, প্রফেসর শঙ্কু সিরিজের সাতটি গল্প আছে।","['C', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'S', 'S', 'C', 'C', 'C', 'C', 'C']",60
31611214,নর-নারায়ণ বিষ্ণুর যমজ  ভ্রাতৃ-অবতার।,নরনারায়ণ বিষ্ণুর যমজ বাতি অবতার।,"['S', 'C', 'C', 'I', 'S']",60
31528059,"স্বত্বাধিকারী কানাই গুপ্ত, পুলিসের পেনশনভোগী সাবেক সাব-ইনস্পেক্টর।",সত্যাধিকারি কানাই গুপ্ত পুলিশের পেনশনভোগী সাবেক সাবইন্সপেক্টর।,"['S', 'C', 'S', 'S', 'C', 'C', 'S']",57
31648749,মাওলানা আবদুল আউয়াল জৌনপুরী ছিলেন প্রতিভাবান লেখক।,"মেলন আদ্বুল আওয়াল জৌনপুরী ছিলেন, প্রতিভাবান লেখক।","['S', 'S', 'S', 'C', 'S', 'C', 'C']",57
31581369,"ফলস্বরূপ, দাবিটি  সন্দেহজনক হিসাবে বিবেচিত হয়েছে।",ফলস্বরূপ দাবিটি ছন্দ জনক হিসেবে বিবেচিত হয়েছে।,"['S', 'C', 'I', 'S', 'S', 'C', 'C']",57
31008131,"কিছুটা সংকুচিত, মাঝারি আকারের   সরু-দেহযুক্ত।","কিছুটা সংগঠিত, মাঝারি আকারের সরু দেহ যুক্ত।","['C', 'S', 'C', 'C', 'I', 'I', 'S']",57
31555990,শিশু  সাহিত্যেও তার অবদান  উল্লেখযোগ্য।,শিশু সাহিত্য ও তার অবদান উল্লেখ চিকন।,"['C', 'I', 'S', 'C', 'C', 'I', 'S']",57
31540013,ঐতিহাসিক মসজিদের শহর বাগেরহাট এ শহরেই অবস্থিত।,"ঐতিহাসি মসজিদের শহর বাগেরহাট, এই শহরে অবস্থিত।","['S', 'C', 'C', 'S', 'S', 'S', 'C']",57
31513912,"জেমস নওগাঁয় জন্মগ্রহণ করেন, এবং বেড়ে উঠেন চট্টগ্রাম শহরে।",জেমস নৌকাই জন্মগ্রহণ করেন এবং বেড়ে  দেন চট্টোব্রবশোদহ।,"['C', 'S', 'C', 'S', 'C', 'C', 'D', 'S', 'S']",55
31568601, এরপূর্বে তিনি মৎস্য ও প্রাণিসম্পদ মন্ত্রণালয়ের প্রতিমন্ত্রী ছিলেন।,এর পূর্বে তিনি মস ও প্রাণী সম্পাদমন্ত্রণালয়ের প্রতিমন্ত্রী ছিলেন।,"['I', 'S', 'C', 'S', 'C', 'S', 'S', 'C', 'C']",55
31666742,তিনি ঐ ম্যাচের ম্যান অব দ্যা ম্যাচ ভূষিত হয়েছিলেন।,তিনি  উইন চেন নানা বা ম্যাচ ভূষিত হয়েছিলেন।,"['C', 'D', 'S', 'S', 'S', 'S', 'C', 'C', 'C']",55
31554742,প্রধান লামা     গ্রাগস-পা-'ব্যুং-গ্নাসকে নির্বাচন করেন।,প্রধান লামা গ্রাস পা এবং নাস কে নির্বাচন করেন।,"['C', 'C', 'I', 'I', 'I', 'I', 'S', 'C', 'C']",55
30672172,যেসব রাষ্ট্রের সঙ্গে কোন সমুদ্র উপকূল নেই সেগুলো এখানে অর্নতভুক্ত হয়নি।,যেসব রাষ্ট্রের সময়ে কোন  সমন্ত্রউপকুল নিয়ে সেগুলো এখনও অন্তর্ভুক্ত হয়নি।,"['C', 'C', 'S', 'C', 'D', 'S', 'S', 'C', 'S', 'S', 'C']",54
31678569,"তাঁর বাব ছিলেন  সুইজারল্যান্ডীয়-জার্মান বংশোদ্ভূত, আর তাঁর মা ছিলেন গুয়াতেমালীয়।","তাঁর বাব ছিলেন সুইজারল্যান্ডীয় জার্মান বংশোদ্ভূত,  তার মা ছিলেন, গুয়াতেমালায়।","['C', 'C', 'C', 'I', 'S', 'C', 'D', 'S', 'C', 'S', 'S']",54
31621131,"বিশেষ আপেক্ষিকতা তত্ত্বে এই মূলনীতির প্রভাব এতই বেশি যে, ম্যাক্স  প্লাংক মূলনীতির নাম থেকেই এই বিশেষ আপেক্ষিকতা তত্ত্বের নামকরণ করেছেন।","বিশেষ আপেক্ষিকতা, তবে এই রনি গ্রহ এতই বেশি যে ম্যাক্স প্লান্ট মনি তিন নাম থেকেই এই  বিশের আপেকগতাদত্বের নামকরণ করেছেন।","['C', 'S', 'S', 'C', 'S', 'S', 'C', 'C', 'S', 'C', 'I', 'S', 'S', 'C', 'C', 'C', 'D', 'S', 'S', 'C', 'C']",52
31633015,ডেন্সিটি-ফাংশনাল পদ্ধতি ও অংশত-পরীক্ষালধ্ব পদ্ধতি হল এক-ই মূল ভাবনার ভিন্ন ভিন্ন রূপ।,"ডেন্সিটিফাংশনাল পদেও অংশ পরীক্ষা, অদ্যদধুতি হল একই মূল ভাবনার ভিন্ন ভিন্ন রূপ।","['S', 'S', 'S', 'S', 'S', 'C', 'S', 'C', 'C', 'C', 'C', 'C']",50
30999667,"এরপর আছে  আন্তর্জাতিক, ব্যবসা-বাণিজ্য, রাজনীতি, এবং সম্পাদকীয় ও মতামত।","এরপর আছে আন্তর্জাতিক ব্যবসা, বাণিজ্য, রাজনীতি এবং সম্পাদকীয় ও তামান।","['C', 'C', 'I', 'S', 'S', 'S', 'C', 'C', 'C', 'S']",50
31620560, এরপরে তাকে প্রসূতি হাসপাতাল থেকে একজন ডাক্তার দত্তক নিয়েছিলেন।,এর পরে তাকে প্রজাতি হাসপাতাল থেকে একজন দাক্তার দত্তক দিয়েছিলেন।,"['I', 'S', 'C', 'S', 'C', 'C', 'C', 'S', 'C', 'S']",50
31551378,"অভিনীত চলচ্চিত্রগুলো,",অভিনীত চলচ্চিত্রগুলো।,"['C', 'S']",50
31574729,সাহায্য করুন!,সাহায্য করে।,"['C', 'S']",50
31535615,পাথরের উপরে জমে থাকা শ্যাওলা খায়।,পাথরের উপরে জমে   তাকাশেওলাহায়।,"['C', 'C', 'C', 'D', 'D', 'S']",50
31548451,অন্যান্য রিলিজ,অন্যান্য রিলিজ।,"['C', 'S']",50
31682264,তিনি সঙ্গীতে পিএইচডি   ডিগ্রিধারী।,তিনি সঙ্গীতে পিএইচডি টি করি দারি।,"['C', 'C', 'C', 'I', 'I', 'S']",50
31742305,খুব ভাল। আর তুমি?,খুব ভাল আর তুমি।,"['C', 'S', 'C', 'S']",50
31518665,তবে জেলা প্রশাসকদের নিয়ন্ত্রণ করে  মন্ত্রিপরিষদ বিভাগ।,তবে জানা প্রশাসকদের নিয়ন্ত্র করে মন্ত্রী প্রবেশের বিভাগ।,"['C', 'S', 'C', 'S', 'C', 'I', 'S', 'C']",50
31628812,বিশপ পেন্সিলভানিয়ায় জন্মগ্রহণ করেন।,বিষ পেন্সেলভানিয়ায় জন্মগ্রহণ করেন।,"['S', 'S', 'C', 'C']",50
31671648,"তার মধ্যে উল্লেখযোগ্য হলো ধান, পাট, আখ, গম, শাকসবজি,মসলা, ডাল।","তার মধ্যে উল্লেখযোগ্য হল দান, পাক ক গম, শাকসবজিমসলা, ডাল।","['C', 'C', 'C', 'S', 'S', 'S', 'S', 'C', 'S', 'C']",50
31580354, সেইসাথে চলে মহিলাদের উপর  অমানবিক নির্যাতন।,সেই সাথে চলে মহিলাদের উপর ও মানবিক নির্যাতন।,"['I', 'S', 'C', 'C', 'C', 'I', 'S', 'C']",50
31627858,এটি একটি  জ্যোতির্লিঙ্গ।,এটি একটি চতুর লিঙ্গ।,"['C', 'C', 'I', 'S']",50
31558078,অন্তর্ভুক্ত হাইব্রিড;;,অন্তর্ভুক্ত হাইব্রিড।,"['C', 'S']",50
30707488,অ্যারন এক দরিদ্র পরিবারে বেড়ে উঠেছিলেন।,এর অনেক দরিদ্র পরিবারে বেড়ে উঠেছিল।,"['S', 'S', 'C', 'C', 'C', 'S']",50
31597822,বর্তমান পত্রিকা,বর্তমান পত্রিকা।,"['C', 'S']",50
31710015,কি বললেন?,কি বললেন।,"['C', 'S']",50
31625560,তিনি পরে আর বিয়ে করেন নি।, পরে আর বিয়ে  করেননি।,"['D', 'C', 'C', 'C', 'D', 'S']",50
31712963,"জলাশয় প্রধান নদী: মেঘনা, বরাক, কালনী ও ঘোড়াউতরা।","জলাশয়, প্রধান নদী মেঘনা, বরাক কালনী ও ঘোড়াউত্রা।","['S', 'C', 'S', 'C', 'S', 'C', 'C', 'S']",50
31580092,বাহন: বাঘ।,বাহন বাঘ।,"['S', 'C']",50
31731677,জামিয়া-তুল-মদিনা ফয়জান-ই-মদিনা নামেও পরিচিত।,জামিয়াতুলমদিনা ফয়জানইমদিনা নামেও পরিচিত।,"['S', 'S', 'C', 'C']",50
31538855,পুরস্কার পেয়েছেন-,পুরস্কার পেয়েছেন।,"['C', 'S']",50
31516617,ভাল পর্যালোচনা সত্ত্বেও হেমিংওয়ে বলেছিলেন সমালোচকেরা বইটির নিঃশেষ করে দিয়েছে।,"ভালো পর্যালোচনা সত্য হোমি বলেছিলেন, সমালোচকেরা বইটির বিশ্বে করে দিয়েছে।","['S', 'C', 'S', 'S', 'S', 'C', 'C', 'S', 'C', 'C']",50
31659784,এটি আইভি লিগের সদস্য।,"এটি, আইভি লীগের সদস্য।","['S', 'C', 'S', 'C']",50
31714207,গোপনীয়তা নীতি,গোপনীয়তা নীতি।,"['C', 'S']",50
31630941,তিনি অনুমতি দিয়ে দিলেন।,তিনি অনুমতি  দিয়েছিলেন।,"['C', 'C', 'D', 'S']",50
31004307,পৌঢ় বয়েসে বিবাহ করেছিলেন।,পৌর বয়সে বিবাহ করেছিলেন।,"['S', 'S', 'C', 'C']",50
31542706,স্বাভাবিক পরিবেশে বিক্রিয়াটি সংঘটনের জন্য  অনুঘটক অবশ্যপ্রয়োজন।,"স্বাভাবিক পরিবেশে বিক্রিয়াটি সংগঠনের জন্য অনুঘটক, অবশ্য প্রয়োজন।","['C', 'C', 'C', 'S', 'C', 'I', 'S', 'S']",50
31585999,মায়ের নাম কুলসুম বেগম।,মায়ের নাম  কুলসনবাগাম।,"['C', 'C', 'D', 'S']",50
31524120,বেইজিং-সাংহাই হাই-স্পিড রেলওয়ে কোং লিমিটেডের নির্মাণ কাজে ছিল।,বেইজিংসাংহাই হাইস্পিড রেলওয়ে কোম্পানি লিমিটেড নির্মাণ কাজে ছিল।,"['S', 'S', 'C', 'S', 'S', 'C', 'C', 'C']",50
31513313,তখন ইন্টারন্যাশনাল মিলিটারি ট্রাইব্যুনাল নাৎসি বাহিনীর নেতাদের বিরুদ্ধে যুদ্ধাপরাধের অভিযোগ গঠন করে এবং তাদের বিচার করে।,তখন ইন্টারন্যাশনাল মিলিটারি ট্রাইব নানা চীবাহিনীর মৃতের গুরুত্ব যুদ্ধ আবাদের ফিরে করে এবং তাদের বিচার করে।,"['C', 'C', 'C', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C']",50
31573397,তিনি  বেশকিছু ধর্মীয় মধ্যস্থতা করেছিলেন।,তিনি বেশ কিছু ধর্মীয় মধ্যস্ততা করেছিলেন।,"['C', 'I', 'S', 'C', 'S', 'C']",50
31683555,জার্নাল সমূহ,জার্নাল সমূহ।,"['C', 'S']",50
30997366,  জৈস-এ-মোহাম্মদ জঙ্গিরা রাহুল  গান্ধীকে অপহরণের পরিকল্পনা করেছিল।,জুইস এ মোহাম্মদ জঙ্গিরা রাহুল গান দিকে অপহরণের পরিকল্পনা করেছিল।,"['I', 'I', 'S', 'C', 'C', 'I', 'S', 'C', 'C', 'C']",50
31547018,এর জলবায়ু উপক্রান্তীয় পার্বত্য জলবায়ুর  এর কাছাকাছি।,"এর জলবায়ু উপক্রান্তীয়, পার্বত্য জলবায়ুর তা চাক আছে।","['C', 'C', 'S', 'C', 'C', 'I', 'S', 'S']",50
31526736,এগুলি হলোঃ,এগুলি হল।,"['C', 'S']",50
31599951, আরকেও তার সাথে চুক্তি নবায়ন  করেনি।,আর কেউ তার সাথে চুক্তি নবায়ন করে নি।,"['I', 'S', 'C', 'C', 'C', 'C', 'I', 'S']",50
31617150,প্রথম   আলজেরিয়ায় পারমাণবিক প্রতিরক্ষা সম্পর্কিত বিষয়গুলির বিশেষজ্ঞ হিসাবে কাজ করেছিলেন।,প্রথম আলজেরীয় এক পরমাণু বি প্রতিরক্ষা সম্পর্কিত বিষয়গুলির বিয়েশক হিসেবে কাজ করেছিলেন।,"['C', 'I', 'I', 'S', 'S', 'C', 'C', 'C', 'S', 'S', 'C', 'C']",50
31527402,"এভাবে 'বাংলাদেশী পণ্য', 'বাংলাদেশী চলচ্চিত্র' ইত্যাদি হতে পারে।","এভাবে বাংলাদেশী পণ্য, বাংলাদেশী চলচ্চিত্র ইত্যাদি হতে পারে।","['C', 'S', 'S', 'S', 'S', 'C', 'C', 'C']",50
31593314,ইরাকের  রাষ্টম্র ইসলাম।,ইরাকের রাষ্ট্র ধর্ম ইসলাম।,"['C', 'I', 'S', 'C']",50
30998506,এবং  নিম্ন-মধ্যাংশের ব্যাস অপেক্ষাকৃত বেশি।,এবং নিম্ন ব্যাসের প্রেস অপেক্ষাকৃত বেশি।,"['C', 'I', 'S', 'S', 'C', 'C']",50
31616912,চলচ্চিত্রটি  ব্যবসাসফল হয়নি।,চলচ্চিত্রটি ব্যবসা সফল হয়নি।,"['C', 'I', 'S', 'C']",50
31528930,ভারতের নৌ-ইতিহাস পাঁচ হাজার বছরের প্রাচীন।,ভারতের নৌইতিহাস পাঁচ  হাজাবুসরের প্রাচীন।,"['C', 'S', 'C', 'D', 'S', 'C']",50
31530497,প্রধান যোগাযোগ মাধ্যম   টেক্সীরিক্সামোটরসাইকেল।,"প্রধান যোগাযোগ মাধ্যম টেক্সিরিকশা, মোটর সাইকেল।","['C', 'C', 'C', 'I', 'I', 'S']",50
31508629,"পূর্ববঙ্গে, বিশেষভাবে বিক্রমপুর, ফরিদপুর, বরিশাল অঞ্চলে এই মিষ্টির প্রাধান্য ছিল।",পূর্ববঙ্গের বিশেষ গর্ত বিক্রমপুর পুরপরিশল অঞ্চলে এই মিষ্টির প্রাধান্য ছিল।,"['S', 'S', 'S', 'S', 'S', 'C', 'C', 'C', 'C', 'C']",50
31647384,কোপেনহেগেন এয়ারপোর্ট,কোপেনহেগেন এয়ারপোর্ট।,"['C', 'S']",50
31616764,কিংবদন্তী মতে এই আশ্রম মহর্ষি বশিষ্ঠ স্থাপন করেন।,"কিংবদন্তী মতে, এই  আমি বৈশিষ্ট্য স্থাপন করেন।","['C', 'S', 'C', 'D', 'S', 'S', 'C', 'C']",50
30998148,"সুতরাং, সত্য।",সুতরাং সত্য।,"['S', 'C']",50
31007640,এর পর জাতীয় পার্টিতে।, এরপর জাতীয় পার্টিতে।,"['D', 'S', 'C', 'C']",50
31567823,এই  শাসনব্যবস্থা অস্থায়ী।,এই শাসন ব্যবস্থা অস্থায়ী।,"['C', 'I', 'S', 'C']",50
31513365,তার  বাবা-মা উভয়েই চিকিৎসক ছিলেন।,তার বাবা মা উভয় চিকিৎসক ছিলেন।,"['C', 'I', 'S', 'S', 'C', 'C']",50
31508934,এই প্রেক্ষাপটে পৌরসভা বা মিউনিসিপ্যালিটি বাংলাদেশের  শহরাঞ্চলীয় স্বায়ত্তশাসন ব্যবস্থার একটি গুরুত্বপূর্ণ একক।,এই প্রেক্ষাপটে  পৌরসভাবা মিউনিসিপ্যালিটির বাংলাদেশের শহরাঞ্চলে সাতশ সং ব্যবস্থার একটি গুরুত্বপূর্ণ একক।,"['C', 'C', 'D', 'S', 'S', 'C', 'I', 'S', 'S', 'C', 'C', 'C', 'C']",46
31512289, সেইসময় তিনি  দ্বারকা ত্যাগ করে কিছুকাল পরে আবার দ্বারকায় ফিরে এলেন।,সেই সময়ে তিনি ধারক তা এক করে কিছুকাল পরে আবার ধারকের ফিরে এলেন।,"['I', 'S', 'C', 'I', 'S', 'S', 'C', 'C', 'C', 'C', 'S', 'C', 'C']",46
31578159," মুখ্যমন্ত্রী সরকারের প্রধান, এবং তার হাতেই রাজ্যের প্রকৃত  শাসনক্ষমতা ন্যস্ত থাকে।",মুখ্য মন্টি সরকারের প্রধান এবং তার হাতেই রাজ্য প্রকৃত শাসন ক্ষমতা ন্যস্ত থাকে।,"['I', 'S', 'C', 'S', 'C', 'C', 'C', 'S', 'C', 'I', 'S', 'C', 'C']",46
31666011,নিউ ইয়র্কের   ব্রুকলিনের গ্রিন-উড কবরস্থানে তাকে সমাহিত করা হয়েছিল।,নিউ ইয়র্কের ল্বক ইন এর গ্রিনউড কবরস্থানে তাকে সমাধিত করা হয়েছিল।,"['C', 'C', 'I', 'I', 'S', 'S', 'C', 'C', 'S', 'C', 'C']",45
31612497,"চলচ্চিত্রটিতে অমিতাভ বচ্চন, স্মিতা পাতিল, পারভীন ববি এবং শশী কাপুর ছিলেন।","চলচ্চিত্রটিতে অমিতাভ, যত স্মিতা পাতিল পারভীন, ববি  শশী কাপুর ছিলেন।","['C', 'S', 'S', 'C', 'S', 'S', 'C', 'D', 'C', 'C', 'C']",45
31618218,ধান-ঋণও আগাম নির্ধারিত পরিমাণ ধান  দিয়ে সুদে-আসলে পরিশোধ করতে হয়।,"ধানঋণও আগাম নির্ধারিত পরিমাণ ধান দিয়ে, শুধু আসলে পরিষদ করতে হয়।","['S', 'C', 'C', 'C', 'C', 'I', 'S', 'S', 'S', 'C', 'C']",45
30707933,বিষক্রিয়া মূল্যায়নের লক্ষ্য  হল কোনও পদার্থের বিরূপ প্রভাব চিহ্নিত করা।,বিষক্রিয়া মূল্যায়নের লক্ষ্য হলেও কোন পাদ হাতে বিরূপ প্রভাব নিচিন্তা করা।,"['C', 'C', 'C', 'I', 'S', 'S', 'S', 'C', 'C', 'S', 'C']",45
