path,predicted,actual
../input/dlsprint/validation_files/common_voice_bn_31602617.mp3,এছাড়া শহরটি থেকে বৌসড়ক জেলার বিভিন্ন প্রান্তে ছড়িয়ে পড়েছে,এছাড়া শহরটি থেকে বহু সড়ক জেলার বিভিন্ন প্রান্তে ছড়িয়ে পড়েছে।
../input/dlsprint/validation_files/common_voice_bn_31602621.mp3,অক্সফোর্ড বিশ্ববিদ্যালয়ে অধ্যয়ন করেছেন জন নিকলসান,অক্সফোর্ড বিশ্ববিদ্যালয়ে অধ্যয়ন করেছেন জন নিকোলসন।
../input/dlsprint/validation_files/common_voice_bn_31024627.mp3,ওয়ার্টি কলকাতা পুলিশের পাটুলি থানা পরিবেশন করে,ওয়ার্ডটি কলকাতা পুলিশের পাটুলি থানা পরিবেশন করে।
../input/dlsprint/validation_files/common_voice_bn_31024628.mp3,রবিন্স পরিচালনার জন্য একটি পুর্কার ও চলচ্চিত্রের নৃত্য পরিচালনার শিল্পী অসামান্য অবদনের জন্য একটি বিশেষ পুরস্কার লাভ করেন,রবিন্স পরিচালনার জন্য একটি পুরস্কার ও চলচ্চিত্রে নৃত্য পরিচালনার শিল্পে অসামান্য অবদানের জন্য একটি বিশেষ পুরস্কার লাভ করেন।
../input/dlsprint/validation_files/common_voice_bn_31522643.mp3,নরওয়েজীয় উকিপিিয়ায় উইকিপিডিয়ানদের সমূলৃত সম্পাদনার সংকাটি,নরওয়েজীয় উইকিপিডিয়ায় উইকিপিডিয়ানদের সম্মিলিত সম্পাদনার সংখ্যা টি।
../input/dlsprint/validation_files/common_voice_bn_31524321.mp3,ইন্দোনেশীয় দ্বীপপুঞ্জ প্রথম দিকের উল্লেখ রয়েছে আব্যাছেও খেলাফাতের সুমায়কালে,ইন্দোনেশীয় দ্বীপপুঞ্জ প্রথম দিকের উল্লেখ রয়েছে আব্বাসীয় খিলাফত সময়কালে।
../input/dlsprint/validation_files/common_voice_bn_31524327.mp3,এটি ডালবিউ ডাল্বি নারিট্াকটিম চ্যাম্পিয়নশিপের পাশাপাশি ডাব্বিডাল্বিউতের বিদ্যমান দুরটি নারীাকটিম পিচেরপনিসমের মধ্যে একটি,এটি ডাব্লিউডাব্লিউই নারী ট্যাগ টিম চ্যাম্পিয়নশিপের পাশাপাশি ডাব্লিউডাব্লিউইতে বিদ্যমান দুটি নারী ট্যাগ টিম চ্যাম্পিয়নশিপের মধ্যে একটি।
../input/dlsprint/validation_files/common_voice_bn_31594958.mp3,প্রাতিষ্ঠানিক শিক্ষার জন্য ছোটবেলা থেকেই তাকে সংগ্রাম করে চলতে হয়েছে,প্রাতিষ্ঠানিক শিক্ষার জন্যে ছোটবেলা থেকেই তাকে সংগ্রাম করে চলতে হয়েছে।
../input/dlsprint/validation_files/common_voice_bn_31594959.mp3,আরব জাতির মধ্যে নানা জাতির মিশ্রণ রয়েছে,আরব জাতির মধ্যে নানা জাতির মিশ্রণ রয়েছে।
../input/dlsprint/validation_files/common_voice_bn_31541728.mp3,বছরের সরকারি হিসাব অনুসারে মরদান জেলারজনসংখ্যা নিচের ছকে দেখান হয়েছে,বছরের সরকারী হিসাব অনুসারে মর্দান জেলার জনসংখ্যা নিচের ছকে দেখানো হয়েছে।
../input/dlsprint/validation_files/common_voice_bn_31675372.mp3,গল্পের মূল চরিত্রের নাম সাজিদ,গল্পের মূল চরিত্রের নাম ‘সাজিদ’।
../input/dlsprint/validation_files/common_voice_bn_31675378.mp3,এর পূর্ব এবং পশ্চিমে পর্বতমালা আছে এবং এটি বাগো অঞ্চলের উত্তরপূর্ব প্রান্তে অবস্থিত,এর পূর্ব এবং পশ্চিমে পর্বতমালা আছে এবং এটি বাগো অঞ্চলের উত্তর-পূর্ব প্রান্তে অবস্থিত।
../input/dlsprint/validation_files/common_voice_bn_31021272.mp3,স্টেশনে জাত্রীয়বাহী ট্রেনের তিনটি প্লযাটফর্ম এবং কন্য ট্রেনের জন্য দুইটি পন্য পরিবহনের ছাউনি রয়েছে,স্টেশনে যাত্রীবাহী ট্রেনের তিনটি প্লাটফর্ম এবং পণ্য ট্রেনের জন্য দুটি পণ্য পরিবহনের ছাউনি রয়েছে।
../input/dlsprint/validation_files/common_voice_bn_31021277.mp3,প্রকৃত অর্থেক কাল্ট মূর্তিগুলির নিয়মিত যত্ন নেয়া হত ও এগুলির প্রতি বিশেষ মনোযোগ দেয়া হত,"প্রকৃত অর্থে, কাল্ট মূর্তিগুলির নিয়মিত যত্ন নেওয়া হত ও এগুলির প্রতি বিশেষ মনোযোগ দেওয়া হত।"
../input/dlsprint/validation_files/common_voice_bn_31675559.mp3,আরো কম প্রচলিত একটি রূব্ভেদ হলন নামবাম,"আরো কম প্রচলিত একটি রূপভেদ হল ""নমোবাম্""।"
../input/dlsprint/validation_files/common_voice_bn_31675568.mp3,তিনি দারুল ওলম দেওবন্দের প্রাক্তন ছাত্র এবং মাহামুদ হাসান দেউ বন্দির থামরাতউদ তার বিয়াদের প্রতিষ্ঠাতা সদস্যদের মধ্য ছিলেন,তিনি দারুল উলুম দেওবন্দের প্রাক্তন ছাত্র এবং মাহমুদ হাসান দেওবন্দির থামরাতুত-তারবিয়াতের প্রতিষ্ঠাতা সদস্যদের মধ্যে ছিলেন।
../input/dlsprint/validation_files/common_voice_bn_31541866.mp3,তিনি আবহাওয়া যন্ত্র বিষয়ে অনেক গবেষণামূলক কাজসপ ত্র প্রকাশ করেন,তিনি আবহাওয়া যন্ত্র বিষয়ে অনেক গবেষণামূলক কাগজপত্র প্রকাশ করেন।
../input/dlsprint/validation_files/common_voice_bn_31541867.mp3,ইসলামী শাসকরা হিন্দু ধর্মালম্বীদের জন্য তাদের ইসলামিক আচরণ অনুসারে প্রকাশ স্থানে প্রশাক নিয়লনয়মাবলি জাতি করেছে,ইসলামী শাসকরা হিন্দু ধর্মাবলম্বীদের জন্য তাদের ইসলামিক আচরণ অনুসারে প্রকাশ্য স্থানে পোশাক নিয়মাবলী জারি করেছে।
../input/dlsprint/validation_files/common_voice_bn_31635647.mp3,কটার ফাইনালে উৎতীহ্ন,কোয়ার্টার-ফাইনালে উত্তীর্ণ।
../input/dlsprint/validation_files/common_voice_bn_31635650.mp3,তার পিতা মুক্তি মাহমুদ,তার পিতা মুফতি মাহমুদ।
../input/dlsprint/validation_files/common_voice_bn_31694695.mp3,এাপলো ও আর্টেমি যমজ ভাইবোন ছিলেন,অ্যাপোলো ও আর্টেমিস যমজ ভাই-বোন ছিলেন।
../input/dlsprint/validation_files/common_voice_bn_31694722.mp3,তাই এই গান কারোণ বাড়িতে গীত হয়না,তাই এই গান কারোর বাড়িতে গীত হয়না।
../input/dlsprint/validation_files/common_voice_bn_31589507.mp3,এখন বিদায় হও,এখন বিদায় হও।
../input/dlsprint/validation_files/common_voice_bn_31589714.mp3,তিনি প্রথমবার সংসদ সদস্য নির্বাচিত হয়েছিলেন,তিনি প্রথমবার সংসদ সদস্য নির্বাচিত হয়েছিলেন।
../input/dlsprint/validation_files/common_voice_bn_31539557.mp3,অ্যাডমিরাল চেটার্জি নতুন দিল্লিতে মারা যান,অ্যাডমিরাল চ্যাটার্জী নতুন দিল্লিতে মারা যান।
../input/dlsprint/validation_files/common_voice_bn_31539565.mp3,সিদ্ধান্ত নিলেন ব্যান্ড গড়ার,সিদ্ধান্ত নিলেন ব্যান্ড গড়ার।
../input/dlsprint/validation_files/common_voice_bn_31514935.mp3,এই তারা সূর্য থেকে তৃতীয় নিকট পর্তি,এই তারা সূর্য থেকে তৃতীয় নিকটবর্তী।
../input/dlsprint/validation_files/common_voice_bn_31514945.mp3,জরিয়ায় ভূমিকম্পের ফলে ভূগলপস্থ আগরণ আরো ছড়িয়ে পড়েন,ঝরিয়ায় ভূমিকম্পের ফলে ভূগর্ভস্থ আগুন আরও ছড়িয়ে পড়ে।
../input/dlsprint/validation_files/common_voice_bn_31569438.mp3,তাছাড়া আমাদের ব্যান্ডের সবাই গানের ব্যাপারে খুব সিরিয়াজ,তা ছাড়া আমাদের ব্যান্ডের সবাই গানের ব্যাপারে খুবই সিরিয়াস।
../input/dlsprint/validation_files/common_voice_bn_31569601.mp3,পূর্ণ সংস্করণ থেকে এটি আকারেও অনেক ছোট,পূর্ণ সংস্করণ থেকে এটি আকারেও অনেক ছোট।
../input/dlsprint/validation_files/common_voice_bn_31530766.mp3,তিনি মিশরীয় সুরকার হালিম এল দব দ্বারাও প্রভাবিত হয়েছিলেন,তিনি মিশরীয় সুরকার হালিম এল-দভ দ্বারাও প্রভাবিত হয়েছিলেন।
../input/dlsprint/validation_files/common_voice_bn_31530992.mp3,পিতার কাছে তিনি প্রাথমিক শিক্ষার পাঠ সমাপ্ত করেন,পিতার কাছে তিনি প্রাথমিক শিক্ষার পাঠ সমাপ্ত করেন।
../input/dlsprint/validation_files/common_voice_bn_31662511.mp3,এগুলির মধ্যে প্রশস্ত সংতল এলাকা অবস্থিত,এগুলির মধ্যে প্রশস্ত সমতল এলাকা অবস্থিত।
../input/dlsprint/validation_files/common_voice_bn_31662516.mp3,সমাকালীন উল্লেখযোগ্য লেখক এ পত্রিকা লিখতেন,সমকালীন উল্লেখযোগ্য লেখক এই পত্রিকার লিখতেন।
../input/dlsprint/validation_files/common_voice_bn_31542200.mp3,তারপর তিনি প্রচুর অর্থ নিয়ে আসতেন এবং এটি হাসপাতাল জলের পাইবল্যান ততরি তৈরিত ব্যবহার করতেন,"তারপরে তিনি প্রচুর অর্থ নিয়ে আসতেন এবং এটি হাসপাতাল, জলের পাইপলাইন ইত্যাদি তৈরিতে ব্যবহার করতেন।"
../input/dlsprint/validation_files/common_voice_bn_31542203.mp3,তিনি ইসলামী সাত্রাহিক পত্রিকা জিবিন সুয়ানের সভাপ্রতিষ্ঠা এবং সম্পাদক ছিলেন,"তিনি ইসলামী সাপ্তাহিক পত্রিকা ""তেহজীব-ই-নিসওয়ানের"" সহ-প্রতিষ্ঠা এবং সম্পাদক ছিলেন।"
../input/dlsprint/validation_files/common_voice_bn_31673703.mp3,কলকাতার আমেরিকান কাল্চারাল সেন্টারে একটি গ্রন্থাগার এমেরিকান তিতাবাসের জনসংযোগ কার্যালয় কটি মুদ্রান বিভাগ ও একটি সাংস্কৃতিক শাখা অবস্থিত,"কলকাতার আমেরিকান কালচারাল সেন্টারে একটি গ্রন্থাগার, আমেরিকান দূতাবাসের জনসংযোগ কার্যালয়, একটি মুদ্রণ বিভাগ ও একটি সাংস্কৃতিক শাখা অবস্থিত।"
../input/dlsprint/validation_files/common_voice_bn_31674749.mp3,এছাড়া তিনি একটি উচ্চ শিক্ষা প্রতিষ্ঠার মানুষে তার সংগ্রাম অব্যহত রাখেন,এছাড়া তিনি একটি উচ্চ শিক্ষা প্রতিষ্ঠার মানসে তাঁর সংগ্রাম অব্যাহত রাখেন।
../input/dlsprint/validation_files/common_voice_bn_31560837.mp3,রেওয়া শহর ছিল নবগঠিত রাজ্যটির সদর,রেওয়া শহর ছিল নবগঠিত রাজ্যটির সদর।
../input/dlsprint/validation_files/common_voice_bn_31560838.mp3,প্রতিষ্ঠানটি চট্টগ্রাম জেলার ফটিকছড়ি উপজেলার নানুপুর ইউনিয়নে অবস্থিত,প্রতিষ্ঠানটি চট্টগ্রাম জেলার ফটিকছড়ি উপজেলার নানুপুর ইউনিয়নে অবস্থিত।
../input/dlsprint/validation_files/common_voice_bn_31568276.mp3,বিজয়নগর উপজেলার পূর্বাংশে পাহারপু ইউনিয়নের অবস্থান,বিজয়নগর উপজেলার পূর্বাংশে পাহাড়পুর ইউনিয়নের অবস্থান।
../input/dlsprint/validation_files/common_voice_bn_31568281.mp3,এভাবে এক জটিল সম্পর্কে কাহিনীর নিয়ে চিত্রায়িত হয়েছে উক্ত চলচ্চিত্র,এভাবেই এক জটিল সম্পর্কের কাহিনী নিয়ে চিত্রায়িত হয়েছে উক্ত চলচ্চিত্র।
../input/dlsprint/validation_files/common_voice_bn_31684551.mp3,তিনি ভিডেও গেমহাফ লাইভ বিপক্ষে বোলের ক্ষেত্রেও উল্লেখ করেছিলেন,"তিনি ভিডিও গেম ""হাফ-লাইফ: বিপক্ষ বলের"" ক্ষেত্রেও উল্লেখ করেছিলেন।"
../input/dlsprint/validation_files/common_voice_bn_31684629.mp3,তবে ক্রত্ৃত্ব পশ্রনের জন্য এটি জার্মান সেনাদুর ওপর অনেক াংশেই নির্বর ছিল,তবে কর্তৃত্ব প্রদর্শনের জন্য এটি জার্মান সেনাদের উপর অনেকাংশে নির্ভর ছিল।
../input/dlsprint/validation_files/common_voice_bn_31581194.mp3,এই লোকসভা কেন্দ্রের সদর দফতর সুলতানপুর শহরে অবস্থিত,এই লোকসভা কেন্দ্রের সদর দফতর সুলতানপুর শহরে অবস্থিত।
../input/dlsprint/validation_files/common_voice_bn_31581200.mp3,একটি উপদলের নেতৃত্বে ছিলেন মোহাম্মদ মুরুল হক,একটি উপদলের নেতৃত্বে ছিলেন মোহাম্মদ নূরুল হক।
../input/dlsprint/validation_files/common_voice_bn_31549899.mp3,সুস্থ হওয়ার পর তিনি পার্শবর্তী মির্জাপুর গ্রামে হোমিয় প্যাতিচিকিচসা আরম্ব করেন,সুস্থ হওয়ার পর তিনি পার্শ্ববর্তী মির্জাপুর গ্রামে হোমিওপ্যাথি চিকিৎসা আরম্ভ করেন।
../input/dlsprint/validation_files/common_voice_bn_31549902.mp3,তিনি একটি শোয়ের জন্য রকস্টার হয়ে ভারতে আসেন,তিনি একটি শোয়ের জন্য রক স্টার হয়ে ভারতে আসেন।
../input/dlsprint/validation_files/common_voice_bn_31636094.mp3,বাংলাদেশ আসাম মায়ানমার মালেশিয়া প্রজাতি,"বাংলাদেশ, আসাম, মায়ানমার ও মালয়েশিয়া প্রজাতি।"
../input/dlsprint/validation_files/common_voice_bn_31636097.mp3,তার পরিবার ইহুদি ধর্মাবলম্বী ছিল,তার পরিবার ইহুদি ধর্মাবলম্বী ছিল।
../input/dlsprint/validation_files/common_voice_bn_31524649.mp3,বর্তমান বাংলাদেশ প্রত্নত্ব অধিদপ্তর এটিকে প্র্নতাত্যিক স্থান হিসাবে তালিকাভুক্ত করে সংস্কারের কাজ করেছে,বর্তমান বাংলাদেশ প্রত্নতত্ত্ব অধিদপ্তর এটিকে প্রত্নতাত্ত্বিক স্থান হিসেবে তালিকাভুক্ত করে সংস্কারের সংস্কারের কাজ করেছে।
../input/dlsprint/validation_files/common_voice_bn_31524662.mp3,যথা সংহীতা ব্রাহ্মণ আরণ্য ও উপনিষদ,"যথা: ""সংহিতা"", ""ব্রাহ্মণ"", ""আরণ্যক"" ও ""উপনিষদ্""।"
../input/dlsprint/validation_files/common_voice_bn_31672418.mp3,তার নিজস্ব সংগ্রহ ক্রাইম মিউজিয়ামে দান করে যা কঞ্চানন ঘোসাল,তাঁর নিজস্ব সংগ্রহ ক্রাইম মিউজিয়ামে দান করে যান পঞ্চানন ঘোষাল।
../input/dlsprint/validation_files/common_voice_bn_31672820.mp3,একেক প্রাণীতে এদের একে ক্রিয়া রয়েছে,একেক প্রাণীতে এদের একেক ক্রিয়া রয়েছে।
../input/dlsprint/validation_files/common_voice_bn_31561603.mp3,এ ওয়ার্ডের বর্তমান কাউন্সিলর হলেন ওমর বিন আদ্বুল আজিজ,এ ওয়ার্ডের বর্তমান কাউন্সিলর হলেন ওমর বিন আব্দুল আজিজ।
../input/dlsprint/validation_files/common_voice_bn_31561606.mp3,এটি একটি স্বাধীন ফ্যাশন এবং লাইফস্টাই ওয়েকসাইড,এটি একটি স্বাধীন ফ্যাশন এবং লাইফস্টাইল ওয়েবসাইট।
../input/dlsprint/validation_files/common_voice_bn_31603241.mp3,এবার রহস্য জনকভাে খুন হতে থাকে এের পর একজন,এবার রহস্যজনক ভাবে খুন হতে থাকে একের পর একজন।
../input/dlsprint/validation_files/common_voice_bn_31603245.mp3,আদালত তাদের কারাগারে পাঠায়,আদালত তাদের কারাগারে পাঠায়।
../input/dlsprint/validation_files/common_voice_bn_31521627.mp3,এএলসএফ মূলত পাঁচটি ইউনিটের মাধ্যমে কাজ পরিচালনা করেন,এ এস এফ মূলত পাঁচটি ইউনিটের মাধ্যমে কাজ পরিচালনা করে।
../input/dlsprint/validation_files/common_voice_bn_31521631.mp3,স্টেশনের কয়েক মিটার শ্চিমে বাগাতিপাড়া উপজেলা পরিষদের অবস্থান,স্টেশনের কয়েক মিটার পশ্চিমে বাগাতিপাড়া উপজেলা পরিষদের অবস্থান।
../input/dlsprint/validation_files/common_voice_bn_31566838.mp3,ফলসরূপ জে কোনো উদ্ভিদ তার সাথে সামাঞ্যস্য আচ্ছে কেবল সেই মাটিতে সট্িকভাবে বেড়ে উঠতে পারে,ফলস্বরূপ যে কোনো উদ্ভিদ তার সাথে সামঞ্জস্য আছে কেবল সেই মাটিতে সঠিক ভাবে বেড়ে উঠতে পারে।
../input/dlsprint/validation_files/common_voice_bn_31566840.mp3,বিমানটি ঠিক নটা সময় পৌছালো,বিমানটি ঠিক নটার সময় পৌছাল।
../input/dlsprint/validation_files/common_voice_bn_31617629.mp3,এটিও লক্ষ্য করা উচিহ যে বস্তুর চেয়েও বোঝার মধ্যে একটি উচ্চতর অস্তিত্ব রয়েছে,এটিও লক্ষ করা উচিত যে বস্তুর চেয়েও বোঝার মধ্যে একটি উচ্চতর অস্তিত্ব রয়েছে।
../input/dlsprint/validation_files/common_voice_bn_31617644.mp3,এছাড়াও তিনি চলচ্চিত্র ও নাটকের সংরাপ রচনা নাটক নির্মাণ গীত রচনা ও লেখালেখি সঙ্গী জড়িত রয়েছেন,"এছাড়াও তিনি চলচ্চিত্র ও নাটকের সংলাপ রচনা, নাটক নির্মাণ, গীত রচনা ও লেখালেখির সঙ্গে জড়িত রয়েছেন।"
../input/dlsprint/validation_files/common_voice_bn_31562287.mp3,যেটি বর্তমানে ভল বুল লোলিত কল একাডেমি নামেও পরিচিত,যেটি বর্তমানে বুলবুল ললিতকলা একাডেমি নামেও পরিচিত।
../input/dlsprint/validation_files/common_voice_bn_31562381.mp3,তিনি প্রোগশল বিষয়ে লেখাপড়া করেন,তিনি প্রকৌশল বিষয়ে লেখাপড়া করেন।
../input/dlsprint/validation_files/common_voice_bn_31591038.mp3,রোডস বিশ্ববিদ্যালয়ে অধ্যয়নকালে ক্রিকেট খেলাকে বেছে নেন তিনি,রোডস বিশ্ববিদ্যালয়ে অধ্যয়নকালে ক্রিকেট খেলাকে বেছে নেন তিনি।
../input/dlsprint/validation_files/common_voice_bn_31591041.mp3,পাকিস্তানি সেনারা বিস্তীর্ণ এলাকা জড়ে আসছিল,পাকিস্তানি সেনারা বিস্তীর্ণ এলাকাজুড়ে আসছিল।
../input/dlsprint/validation_files/common_voice_bn_31622983.mp3,পরবর্তীকালে তিনি মুক্তিযুদ্ধা সংসদ এবং ঢাকা মুহামেডানের হয়ে খেলেছিলেন,"পরবর্তীকালে, তিনি মুক্তিযোদ্ধা সংসদ এবং ঢাকা মোহামেডানের হয়ে খেলেছিলেন।"
../input/dlsprint/validation_files/common_voice_bn_31622998.mp3,বর্তমানে দের হাজারেরও অধিক শিক্ষার্থী এ বিদ্যালয়ে অধ্যয়নদ্রত আছে,বর্তমানে দেড় হাজারেরও অধিক শিক্ষার্থী এ বিদ্যালয়ে অধ্যয়নরত আছে।
../input/dlsprint/validation_files/common_voice_bn_31518663.mp3,এখানে পাঠ্যবইই ছাড়াও বিভিন্ন লেখকের বই আছে,এখানে পাঠ্যবই ছাড়াও বিভিন্ন লেখকের বই আছে।
../input/dlsprint/validation_files/common_voice_bn_31518683.mp3,তবে পরবর্তী সময়ে তিনি সামরিক জীবন জাপনর শহী তনিজেকে মানিয়ে নেন এবং শেষ অবধী সার্জেন্ট পদ অর্জন করেছিলেন,তবে পরবর্তী সময়ে তিনি সামরিক জীবন যাপনের সহিত নিজেকে মানিয়ে নেন এবং শেষ অবধি সার্জেন্ট পদ অর্জন করেছিলেন।
../input/dlsprint/validation_files/common_voice_bn_31580354.mp3,সেই সাথে চলে মহিলাদের উপর ও মানবিক নির্যাতন,সেইসাথে চলে মহিলাদের উপর অমানবিক নির্যাতন।
../input/dlsprint/validation_files/common_voice_bn_31580362.mp3,এটিই তৈরি করতে দা ফুটবল অ্যাসোসিয়েশন অনেক অর্থধার করেছে,এটি তৈরি করতে দ্য ফুটবল অ্যাসোসিয়েশন অনেক অর্থ ধার করেছে।
../input/dlsprint/validation_files/common_voice_bn_31554421.mp3,তবে পরে ব্রটকেফনাইন চারু ব্যবস্থা করা হয়েছিল,তবে পরে ব্রডগেজ লাইন চালুর ব্যবস্থা করা হয়েছিল।
../input/dlsprint/validation_files/common_voice_bn_31554429.mp3,মুক্তবাজার অর্থনীতে সাধারণত বোখ্তার নিকর বিক্রয় করে মুনা পালাবের উদ্দেশ্যই শিল্পজাতন্যর উৎপাদন করা হয়ে থাকে,"মুক্ত বাজার অর্থনীতিতে, সাধারণত ভোক্তার নিকট বিক্রয় করে মুনাফা লাভের উদ্দেশ্যেই শিল্পজাত পণ্যের উৎপাদন করা হয়ে থাকে।"
../input/dlsprint/validation_files/common_voice_bn_31548449.mp3,ফলে এটি তার নির্মিত প্রথম ডিজিটাল ফর্মেটের চলচ্চিত্র,ফলে এটি তার নির্মিত প্রথম ডিজিটাল ফরম্যাটের চলচ্চিত্র।
../input/dlsprint/validation_files/common_voice_bn_31548451.mp3,অন্যান্যর লিজ,অন্যান্য রিলিজ
../input/dlsprint/validation_files/common_voice_bn_31629863.mp3,বিক্রিয়াটি অনেক এঞজাইমের প্রিয়া হাস করে,বিক্রিয়াটি অনেক এনজাইমের ক্রিয়া হ্রাস করে।
../input/dlsprint/validation_files/common_voice_bn_31629865.mp3,এটি মূলত বাংলার নিজর্ব সঙ্গীত,এটি মূলত বাংলার নিজস্ব সঙ্গীত।
../input/dlsprint/validation_files/common_voice_bn_31600726.mp3,এছাড়াও তিনি তার নাম পরিবর্তন করে সেনা রাখেন,এছাড়াও তিনি তার নাম পরিবর্তন করে সেনা রাখেন।
../input/dlsprint/validation_files/common_voice_bn_31600727.mp3,ইয়মদের পুরামের তাপসির ব্যাখ্যার পাশাপাশি দিক নির্দেশনা দেওয়ার ক্ষমতা আছে,ইমামদের কুরআনের তাফসীর ও ব্যাখ্যার পাশাপাশি দিকনির্দেশনা দেওয়ার ক্ষমতা আছে।
../input/dlsprint/validation_files/common_voice_bn_31638119.mp3,নিচ এলাকার উন্নয়নে তার ব্যাপক অবদান রয়েছে,নিজ এলাকার উন্নয়নে তার ব্যাপক অবদান রয়েছে।
../input/dlsprint/validation_files/common_voice_bn_31638143.mp3,স্ট্রোকে আক্রান্ত হন তিনি,স্ট্রোকে আক্রান্ত হন তিনি।
../input/dlsprint/validation_files/common_voice_bn_31563054.mp3,এ গ্রন্থে মোট বারটি কুবিতা আছে,এই গ্রন্থে মোট বারোটি কবিতা আছে।
