path,wav2vec2,4gram
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694bf3878a.flac,থাকতে দেখা গেছে,থাকতে দেখা গেছে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694bfcb3f6.flac,পিপ্রেকে উড়িয়েদ মিল,পিপ্রেকেউড়িয়েদ মিল
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694cbe0d24.flac,চার থেকে সাত নাম্বার,চার থেকে সাত নাম্বার
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694d3374d9.flac,নারী পুরুষের,নারী পুরুষের
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694d34729c.flac,এশিয়া কাব আয়োজিত হয়ে আসছে,এশিয়া কাপ আয়োজিত হয়ে আসছে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694df5f309.flac,মি একজন  ্রভা,একজন বা
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694e464a88.flac,উর্দু জানলেই হবে না,উর্দু জানলেই হবে না
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694e69d111.flac,ফুলসজ্যার রাত,ফুল সজ্জার রাত
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694f194efe.flac,বৈদ্যা বাটির বাবুর বাব,বৈদ্যবাটির বাবুর বা
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694f1be340.flac,নিজেকে গড়ে তুলতে চাননি,নিজেকে গড়ে তুলতে চান নি
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694fcde875.flac,ক্ষুদ্র ব্যবসায়ীদের অবস্থা,ক্ষুদ্র ব্যবসায়ীদের অবস্থা
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694fd86dc2.flac,পাঠ খেত,পাটখেত
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/694ffbbc81.flac,নর নারি হনাদাে   তি দর বত      ে,নারী হাদেরাতে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69500337e1.flac,আট হাজার চার্শ ছেশরটি পয়েন্ট হয়,আট হাজার চার শ শেষটি পয়েন্ট হয়
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6950de4c0b.flac,চারু কললা চত্তরে,চারুকলা চত্বরে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6951117ec5.flac,হোটেলগুলোর একটি,হোটেলগুলোর একটি
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6951945d54.flac,টিকলি বিএের বহু সাজানোর জন্য,টিকলি বিয়ের বহু সাজানোর জন্য
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69519a6304.flac,কোরান হাদিসের ব্যাখ্যা,কোরআন হাদিসের ব্যাখ্যা
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69527168b5.flac,পরিস্থিতির কিছুটা উন্নতি হলেও,পরিস্থিতির কিছুটা উন্নতি হলেও
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6952a21b72.flac,বল পেয়ে যান,বল পেয়ে যান
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6952b21080.flac,বিকট শদ দে,বিকট শব্দে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695340b4ad.flac,প্রতিষ্ঠানগুলোর একটি,প্রতিষ্ঠানগুলোর একটি
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695370f36b.flac,এক া,
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69537a0b49.flac,ভ্যালান্টানের মৃত্যু বিষয়,ভ্যালেন্টাইনের মৃত্যু বিষয়ে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6953d8e03f.flac,কৃষকরায় বেশি ক্ষতিগ্রস্ত হবে,কৃষক রায় বেশি ক্ষতিগ্রস্ত হবে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69541db318.flac,তেিস্টে আসনে,টি আসনে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695423a317.flac,আর ধন্য হয়বেন না,আর ধন্য হইবেন না
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69546291c3.flac,গত বছর সেপ্টেম্বরে,গত বছর সেপ্টেম্বরে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695465ef1b.flac,লাগাতার কাজের ফলে,লাগাতার কাজের ফলে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695487e2cc.flac,ভর্তিবরীক্ষা স্থগিত হওয়াকে,ভর্তি পরীক্ষা স্থগিত হওয়াকে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695560d067.flac,ফলে মুক্তিযুদ্ধের সময়,ফলে মুক্তিযুদ্ধের সময়
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6955924fa8.flac,আমরা কিনি,
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6955b77204.flac,কারণ খুম অসম্ভব,কারণ খুম অসম্ভব
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695608fea8.flac,কিছু দিন জাবদ,কিছুদিন যাবৎ
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695643a456.flac,রোববার সকাল থেকে,রোববার সকাল থেকে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6956446a66.flac,আমি আমার মতো,আমি আমার মতো
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6956702e16.flac,নয়ন আলীসহ তিনজন কে,নয়ন আলীসহ তিনজনকে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69567a88be.flac,উদ্ভব করেছেন,উদ্ভব করেছেন
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695681c662.flac,বিশ্ববাজারে দামের,বিশ্ববাজারে দামের
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6956fda021.flac,ও পায় নাই,ও পায় নাই
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69573b063f.flac,বাংলাদেশের সামুদ্রিক জলাসয়,বাংলাদেশের সামুদ্রিক জলাশয়
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6957632417.flac,মুক্তিযোদ্ধাদের পোবল প্রতিরোধে,মুক্তিযোদ্ধাদের পল প্রতিরোধে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69576cb1a8.flac,সেজন্য অপেক্ষা করছে,সে জন্য অপেক্ষা করছে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6957845332.flac,উল্লেখ করেন,উল্লেখ করেন
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6957a04c2a.flac,ঐ অভিযানের সময়,ও অভিযানের সময়
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6957cf3c2f.flac,মুক্তুদ্বারা আবৃতি চর্চা বিকাশ কেন্দ্রের,মুক্তি দ্বারা আবৃত্তি চর্চা বিকাশ কেন্দ্রের
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6958002c1a.flac,বাংলাদেশের সমাজসান্ত্রিক দল বাবাসৎ,বাংলাদেশের সমাজতান্ত্রিক দল বা বাসদ
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69585353ff.flac,তিন জটের রূপ রেখা,তিন জোটের রূপরেখা
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695893b105.flac,কালিপুর গ্রামের,কালিপুর গ্রামের
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6958b12c6a.flac,হাসপাতালে ভর্তি হলেন,হাসপাতালে ভর্তি হলেন
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69590af352.flac,এম দাদ,এমদাদ
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6959bf660d.flac,এডিয়ার এড মিরাল নিজাম উদ্দিন আহমেদ,রিয়ার এডমিরাল নিজাম উদ্দিন আহমেদ
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6959e2d58a.flac,মিস্টার শ্রীনিবাসনের বিরুদ্ধে,মিস্টার শ্রীনিবাসনের বিরুদ্ধে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695ab67fb5.flac,টব জিন্স পরা মেয়েদের,টব জিনস পরা মেয়েদের
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695ac2f902.flac,কয়েকটি মাচর লাইন,কয়েকটি মাত্র লাইন
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695acd9caa.flac,মাঠি,মাঝি
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695bfb3a2c.flac,লেনিন যখন মারা গেলেন,লেনিন যখন মারা গেলেন
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695c0c6db8.flac,ঠিক ছয়টায় কেমন,ঠিক ছয়টায় কেমন
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695c2bd0a3.flac,তা বলতে,তা বলতে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695c2d14a5.flac,খন,
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695cb077fb.flac,অসহায় শিশুরা,অসহায় শিশুরা
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695d00b19a.flac,বেশ জড়ে সরীং,বেশ জোড়ে সরি
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695d331f85.flac,কৃত্তিম সঙকর তৈরি করেন,কৃত্রিম সংকট তৈরি করে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695d964a50.flac,খোট পেয়েছুকি,খোট পেয়েছ কি
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695da81bc4.flac,যখন সকল জোন,যখন সকল জন
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695da820df.flac,একটি নিয়াম নামক,একটি নিয়ম নামক
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695db43317.flac,পচিশ মিলিয়ন,পঁচিশ মিলিয়ন
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695db55989.flac,শহীদ গবিন্দ চন্দ্র দেপ,শহীদ গোবিন্দ চন্দ্র দে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695db67eed.flac,বিশন ইমোশনাল সে,ভিশন ইমোশনাল সে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695df89988.flac,তিনটি ছবি নিয়ে,তিনটি ছবি নিয়ে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695ebd6042.flac,নিধারুণ হতাশায় চাপা পড়ে,নিদারুণ হতাশায় চাপা পড়ে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695ef993b4.flac,বিবিসির জিম রিডেন প্রতিবেদন,বিবিসির জিম রিডের প্রতিবেদন
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695f4b0efb.flac,বললেও তারা,বললেও তারা
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695fc5f762.flac,মানুষের জীবন যাত্রার উপর ছিল,মানুষের জীবনযাত্রার ওপর ছিল
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/695ff3b4e2.flac,যে কোনো কিছুর বিনি ময়ে,যে কোনো কিছুর বিনিময়ে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6960302357.flac,হরিন তার,হরিণ তার
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6960cdc284.flac,যেরা অসমাপ্ত অবস্থায়,জেরা অসমাপ্ত অবস্থায়
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6960f9b1c8.flac,র অর্থ হল,অর্থ হলো
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/696123f03e.flac,বেসরকারি খাতে রিণ বিতরণে,বেসরকারি খাতে ঋণ বিতরণে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69616ea6b2.flac,ব্যক্তি পর্যায়,ব্যক্তি পর্যায়
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6961ef1724.flac,কমি এছে অনেক,কমই আছে অনেক
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6962288b2b.flac,এভাবে আমরা,এভাবে আমরা
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/696248d727.flac,এককও পার্থিরা নির্বাচিত হয়েছেন,একক পার্থিরা নির্বাচিত হয়েছেন
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/69629560f8.flac,নান রচিতা নানা দিকে,নানা রচিত নানা দিকে
/root/.cache/huggingface/datasets/downloads/extracted/368191eba08f8f0b50ea971e615a37ebc46d3952e34a8b1e0441e1d60bdd7a09/asr_bengali/data/69/6962c84c9a.flac,ফুল উপহারেন দিন,ফুল উপহারের দিন
